type,ID,Classification,sequence_length,k-mer_match
C,M01771:9:000000000-L7C7K:1:1105:10358:6016,Rubrobacter xylanophilus (taxid 49319),301,131567:2 679663:1 0:74 3135646:5 0:5 2:16 1783272:2 0:114 1783272:3 0:4 49319:5 1783272:2 0:2 1670830:1 2:4 0:2 2:1 1783270:7 2:5 0:12
C,M01771:9:000000000-L7C7K:1:1105:26084:6016,Rubrobacter xylanophilus (taxid 49319),301,0:77 3135646:5 0:5 2:16 1783272:2 0:114 1783272:3 0:4 49319:5 1783272:2 0:2 1670830:1 2:4 0:2 2:1 1783270:7 2:5 131567:5 2:3 0:4
C,M01771:9:000000000-L7C7K:1:1105:13049:6016,Rubrobacter xylanophilus (taxid 49319),301,0:82 3135646:5 0:5 2:16 1783272:2 0:114 1783272:3 0:4 49319:5 1783272:2 0:2 1670830:1 2:6 0:8 745023:5 131567:5 1236:2
C,M01771:9:000000000-L7C7K:1:1105:20291:6016,Dermacoccus sp. PAMC28757 (taxid 2762331),301,131567:2 0:3 2:7 0:26 85006:8 1760:12 2:45 85006:5 57494:5 1760:5 0:13 85006:8 1760:5 2762331:5 85006:3 57495:3 85006:9 57495:3 1760:33 85006:5 1760:8 2:5 1760:1 2:10 0:13 2:1 0:14 131567:10
C,M01771:9:000000000-L7C7K:1:1105:15987:6016,Escherichia coli (taxid 562),301,2:1 1351:2 2:4 131567:5 2:25 543:1 2:6 0:4 91347:5 0:1 2:1 0:3 2:3 0:5 1236:4 2:24 543:9 2:5 543:12 562:2 543:5 2:40 131567:9 2:35 0:1 84642:1 0:42 91347:5 0:7
C,M01771:9:000000000-L7C7K:1:1105:10312:6016,Luteitalea sp. TBR-22 (taxid 2802971),301,1236:3 2:1 0:5 2:18 0:10 488538:2 0:20 2:7 2004797:3 2:39 2004797:2 2:5 2004797:2 2:5 0:3 2004797:3 0:23 2802971:2 0:16 1224:1 2:3 0:7 2:5 0:19 2:9 0:1 28211:1 2:24 2004797:1 2:10 2004797:4 2:13
C,M01771:9:000000000-L7C7K:1:1105:18126:6016,Luteitalea sp. TBR-22 (taxid 2802971),301,1236:3 2:1 0:5 2:18 0:10 488538:2 0:20 2:7 2004797:3 2:39 2004797:2 2:5 2004797:2 2:5 0:3 2004797:3 0:23 2802971:2 0:16 1224:1 2:3 0:7 2:5 0:19 2:9 0:1 28211:1 2:24 2004797:1 2:10 2004797:4 2:8 0:5
C,M01771:9:000000000-L7C7K:1:1105:14487:6016,Anaerostipes hadrus (taxid 649756),301,2:7 131567:5 2:18 186801:2 1239:5 649756:1 186803:5 649756:1 1239:3 649756:5 2:1 3085636:1 649756:4 2:24 186801:5 2:19 1239:14 207244:3 186803:5 649756:4 2:1 649756:22 186801:5 649756:11 186803:5 649756:3 186803:5 649756:9 186801:19 649756:1 2:7 3085636:2 186801:6 2:5 186801:4 2:1 1239:5 2:19 131567:5
C,M01771:9:000000000-L7C7K:1:1105:17106:6016,Segatella copri (taxid 165179),301,562:2 0:12 171552:15 2974251:6 165179:12 171549:1 165179:11 2974251:1 2:48 165179:7 2974251:5 165179:39 2974251:1 171552:1 165179:5 171552:1 165179:1 2974251:5 165179:5 171552:3 2974251:5 165179:1 2974251:6 171552:7 2974251:9 171552:11 2:9 171552:8 171549:4 171552:8 171549:1 171552:12 2:5
C,M01771:9:000000000-L7C7K:1:1105:6368:6016,Segatella copri (taxid 165179),301,131567:3 0:1 2:2 171552:24 2974251:6 165179:12 171549:1 165179:11 2974251:1 2:48 165179:7 2974251:5 165179:39 2974251:1 171552:1 165179:5 171552:1 165179:1 2974251:5 165179:5 171552:3 2974251:5 165179:1 2974251:6 171552:7 2974251:9 171552:11 2:9 171552:8 171549:4 171552:8 171549:1 171552:12 2:4
