200 species,100 species,50 species
Escherichia coli (taxid 562),Arsenophonus endosymbiont of Crataerina pallida (taxid 3066235),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Terrabacteria group (taxid 1783272),Buchnera aphidicola (taxid 9),Sphingomonas sp. CL5.1 (taxid 2653203)
Segatella copri (taxid 165179),Segatella copri (taxid 165179),Candidatus Kaistella beijingensis (taxid 2820270)
Ruminococcus bicirculans (ex Wegman et al. 2014) (taxid 1160721),Ruminococcus champanellensis (taxid 1161942),Enterococcus faecium (taxid 1352)
Pseudomonas sp. CIP-10 (taxid 2892442),Enterobacter sp. T2 (taxid 2707174),Escherichia coli (taxid 562)
Segatella bryantii (taxid 77095),Segatella bryantii (taxid 77095),Candidatus Kaistella beijingensis (taxid 2820270)
Ligilactobacillus ruminis (taxid 1623),Lactobacillus gasseri (taxid 1596),Ligilactobacillus salivarius (taxid 1624)
Enterococcus faecalis (taxid 1351),Brachybacterium sp. GPGPB12 (taxid 3023517),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Acinetobacter calcoaceticus/baumannii complex (taxid 909768),Acinetobacter calcoaceticus/baumannii complex (taxid 909768),Acinetobacter calcoaceticus/baumannii complex (taxid 909768)
Vescimonas fastidiosa (taxid 2714353),Pusillibacter faecalis (taxid 2714358),Alcaligenes faecalis (taxid 511)
Pseudoprevotella muciniphila (taxid 2133944),Prevotella melaninogenica (taxid 28132),Sphingomonas hengshuiensis (taxid 1609977)
Comamonas aquatica (taxid 225991),Comamonas terrigena NBRC 13299 (taxid 1219032),Hylemonella gracilis (taxid 80880)
Dialister pneumosintes (taxid 39950),Dialister pneumosintes (taxid 39950),Clostridium beijerinckii (taxid 1520)
Phocaeicola vulgatus (taxid 821),Phocaeicola vulgatus (taxid 821),Aquipluma nitroreducens (taxid 2010828)
Sutterella faecalis (taxid 2584944),Sutterella faecalis (taxid 2584944),Variovorax sp. PBL-E5 (taxid 434014)
Lactobacillus taiwanensis (taxid 508451),Lactobacillus gasseri (taxid 1596),Ligilactobacillus salivarius (taxid 1624)
Coprococcus catus (taxid 116085),Coprococcus catus (taxid 116085),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Skermania piniformis (taxid 39122),Mycolicibacterium doricum (taxid 126673),Microlunatus elymi (taxid 2596828)
Vescimonas coprocola (taxid 2714355),Caloramator sp. E03 (taxid 2576307),Bacillus subtilis (taxid 1423)
Alteracholeplasma palmae J233 (taxid 1318466),Candidatus Promineifilum breve (taxid 1806508),Anaerolinea thermophila UNI-1 (taxid 926569)
Aristaeella hokkaidonensis (taxid 3046382),Clostridium cadaveris (taxid 1529),Enterococcus faecium (taxid 1352)
Photobacterium leiognathi subsp. mandapamensis (taxid 48408),Brachybacterium sp. GPGPB12 (taxid 3023517),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Paraprevotella clara (taxid 454154),Paraprevotella clara (taxid 454154),Chryseobacterium group (taxid 2782232)
Bifidobacterium breve (taxid 1685),Bifidobacterium breve (taxid 1685),Corynebacterium cystitidis (taxid 35757)
Succinivibrio dextrinosolvens (taxid 83771),Succinivibrio dextrinosolvens (taxid 83771),Pseudomonas sp. 13159349 (taxid 2662034)
Allobaculum sp. Allo2 (taxid 2853432),Faecalibaculum rodentium (taxid 1702221),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Telluria group (taxid 2895353),Telluria group (taxid 2895353),Ralstonia sp. RS647 (taxid 2880989)
Clostridium perfringens (taxid 1502),Clostridium cadaveris (taxid 1529),Enterococcus faecium (taxid 1352)
Planctopirus ephydatiae (taxid 2528019),Denitrobacterium detoxificans (taxid 79604),Bacillus velezensis NAU-B3 (taxid 1385727)
Ruminococcus champanellensis (taxid 1161942),Flavonifractor plautii (taxid 292800),Bacillus subtilis (taxid 1423)
Faecalibacterium prausnitzii (taxid 853),Faecalibacterium prausnitzii (taxid 853),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Homo sapiens (taxid 9606),Pseudorhodobacter turbinis (taxid 2500533),Bacillus velezensis NAU-B3 (taxid 1385727)
Dialister succinatiphilus (taxid 487173),Radiobacillus deserti (taxid 2594883),Bacillus velezensis NAU-B3 (taxid 1385727)
Anaerostipes hadrus (taxid 649756),Simiaoa sunii (taxid 2763672),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Stella humosa (taxid 94),Stella humosa (taxid 94),Sphingomonas sp. CL5.1 (taxid 2653203)
Clostridium cadaveris (taxid 1529),Lactobacillus gasseri (taxid 1596),Ligilactobacillus salivarius (taxid 1624)
Segatella copri DSM 18205 (taxid 537011),Segatella hominis (taxid 2518605),Chryseobacterium group (taxid 2782232)
Agromyces flavus (taxid 589382),Microbacterium limosum (taxid 3079935),Microlunatus elymi (taxid 2596828)
Kaistia sp. 32K (taxid 2795690),Methylosinus trichosporium OB3b (taxid 595536),Brucella intermedia (taxid 94625)
Bifidobacterium pseudolongum (taxid 1694),Bifidobacterium pseudolongum (taxid 1694),Corynebacterium cystitidis (taxid 35757)
Prevotella bivia (taxid 28125),Prevotella nigrescens (taxid 28133),Stenotrophomonas sp. SXG-1 (taxid 2682487)
Stenotrophomonas oahuensis (taxid 3003271),Sodalis ligni (taxid 2697027),Pseudomonas sp. TCU-HL1 (taxid 1856685)
Collinsella aerofaciens (taxid 74426),Collinsella aerofaciens (taxid 74426),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Deinococcus sp. NW-56 (taxid 2080419),Deinococcus sp. NW-56 (taxid 2080419),Bacillus velezensis NAU-B3 (taxid 1385727)
Bifidobacterium longum (taxid 216816),Bifidobacterium longum (taxid 216816),Microlunatus elymi (taxid 2596828)
Roseburia hominis (taxid 301301),Roseburia hominis (taxid 301301),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Flavonifractor plautii (taxid 292800),Flavonifractor plautii (taxid 292800),Bacillus subtilis (taxid 1423)
Advenella alkanexedens (taxid 1481665),Advenella alkanexedens (taxid 1481665),Hylemonella gracilis (taxid 80880)
Bifidobacterium longum subsp. longum (taxid 1679),Bifidobacterium pseudolongum (taxid 1694),Corynebacterium cystitidis (taxid 35757)
Candidatus Methanomassiliicoccus intestinalis (taxid 1406512),Candidatus Methanomassiliicoccus intestinalis (taxid 1406512),Ralstonia solanacearum (taxid 305)
Haemophilus parainfluenzae (taxid 729),Haemophilus parainfluenzae (taxid 729),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Salmonella enterica subsp. enterica (taxid 59201),Serratia plymuthica RVH1 (taxid 1006598),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Megamonas hypermegale (taxid 158847),Megamonas hypermegale (taxid 158847),Bacillus velezensis NAU-B3 (taxid 1385727)
Xanthomonas albilineans (taxid 29447),Xanthomonas albilineans (taxid 29447),Stenotrophomonas acidaminiphila (taxid 128780)
Alistipes onderdonkii (taxid 328813),Alistipes onderdonkii (taxid 328813),Mucilaginibacter mali (taxid 2740462)
Streptococcus mutans (taxid 1309),Streptococcus mutans (taxid 1309),Streptococcus chenjunshii (taxid 2173853)
Corynebacterium doosanense CAU 212 = DSM 45436 (taxid 558173),Corynebacterium incognita (taxid 2754725),Corynebacterium cystitidis (taxid 35757)
Varunaivibrio sulfuroxidans (taxid 1773489),Bosea beijingensis (taxid 3068632),Sphingomonas hengshuiensis (taxid 1609977)
Anaerobutyricum hallii (taxid 39488),Anaerobutyricum hallii (taxid 39488),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Staphylococcus pseudintermedius (taxid 283734),Thermoleophilum album (taxid 29539),Microlunatus elymi (taxid 2596828)
Acinetobacter baumannii (taxid 470),Acinetobacter calcoaceticus/baumannii complex (taxid 909768),Acinetobacter calcoaceticus/baumannii complex (taxid 909768)
Dorea longicatena (taxid 88431),Dorea longicatena (taxid 88431),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Megamonas funiformis (taxid 437897),Megamonas funiformis (taxid 437897),Staphylococcus warneri (taxid 1292)
Sphingomonas sp. CL5.1 (taxid 2653203),Stakelama saccharophila (taxid 3075605),Sphingomonas hengshuiensis (taxid 1609977)
Megasphaera elsdenii (taxid 907),Megasphaera elsdenii (taxid 907),Enterococcus faecium (taxid 1352)
Leptolyngbya sp. 7M (taxid 2812896),Thioclava electrotropha (taxid 1549850),Desulfobulbus propionicus DSM 2032 (taxid 577650)
Aurantiacibacter sp. MUD61 (taxid 3009083),Aurantiacibacter sp. MUD61 (taxid 3009083),Sphingomonas hengshuiensis (taxid 1609977)
Prevotella herbatica (taxid 2801997),Prevotella herbatica (taxid 2801997),Chryseobacterium group (taxid 2782232)
Roseburia intestinalis (taxid 166486),Anaerostipes sp. PC18 (taxid 3036926),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
